Date,S. No.,Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
04-04-2020,29,West Bengal,69,10,3
04-05-2020,1,Andhra Pradesh,190,1,1
04-05-2020,2,Andaman and Nicobar Islands,10,0,0
04-05-2020,3,Arunachal Pradesh,1,0,0
04-05-2020,4,Assam,26,0,0
04-05-2020,5,Bihar,30,0,1
04-05-2020,6,Chandigarh,18,0,0
04-05-2020,7,Chhattisgarh,9,3,0
04-05-2020,8,Delhi,503,18,7
04-05-2020,9,Goa,7,0,0
04-05-2020,10,Gujarat,122,18,11
04-05-2020,11,Haryana,59,25,1
04-05-2020,12,Himachal Pradesh,6,1,1
04-05-2020,13,Jammu and Kashmir,106,4,2
04-05-2020,14,Jharkhand,3,0,0
04-05-2020,15,Karnataka,144,12,4
04-05-2020,16,Kerala,306,49,2
04-05-2020,17,Ladakh,14,10,0
04-05-2020,18,Madhya Pradesh,165,0,9
04-05-2020,19,Maharashtra,490,42,24
04-05-2020,20,Manipur,2,0,0
04-05-2020,21,Mizoram,1,0,0
04-05-2020,22,Odisha,20,0,0
04-05-2020,23,Puducherry,5,1,0
04-05-2020,24,Punjab,57,1,5
04-05-2020,25,Rajasthan,200,21,0
04-05-2020,26,Tamil Nadu,485,6,3
04-05-2020,27,Telengana,269,32,7
04-05-2020,28,Uttarakhand,22,2,0
04-05-2020,29,Uttar Pradesh,227,19,2
04-05-2020,30,West Bengal,80,10,3
04-06-2020,1,Andhra Pradesh,266,1,3
04-06-2020,2,Andaman and Nicobar Islands,10,0,0
04-06-2020,3,Arunachal Pradesh,1,0,0
04-06-2020,4,Assam,26,0,0
04-06-2020,5,Bihar,32,0,1
04-06-2020,6,Chandigarh,18,0,0
04-06-2020,7,Chhattisgarh,10,8,0
04-06-2020,8,Delhi,523,19,7
04-06-2020,9,Goa,7,0,0
04-06-2020,10,Gujarat,144,22,12
04-06-2020,11,Haryana,90,25,1
04-06-2020,12,Himachal Pradesh,13,2,1
04-06-2020,13,Jammu and Kashmir,109,4,2
04-06-2020,14,Jharkhand,4,0,0
04-06-2020,15,Karnataka,151,12,4
04-06-2020,16,Kerala,327,58,2
04-06-2020,17,Ladakh,14,10,0
04-06-2020,18,Madhya Pradesh,165,0,9
04-06-2020,19,Maharashtra,748,56,45
04-06-2020,20,Manipur,2,0,0
04-06-2020,21,Mizoram,1,0,0
04-06-2020,22,Odisha,21,2,0
04-06-2020,23,Puducherry,5,1,0
04-06-2020,24,Punjab,76,4,6
04-06-2020,25,Rajasthan,288,21,3
04-06-2020,26,Tamil Nadu,621,8,5
04-06-2020,27,Telengana,321,34,7
04-06-2020,28,Tripura,1,0,0
04-06-2020,29,Uttarakhand,31,5,0
04-06-2020,30,Uttar Pradesh,305,21,3
04-06-2020,31,West Bengal,91,13,3
04-07-2020,1,Andhra Pradesh,266,1,3
04-07-2020,2,Andaman and Nicobar Islands,10,0,0
04-07-2020,3,Arunachal Pradesh,1,0,0
04-07-2020,4,Assam,26,0,0
04-07-2020,5,Bihar,32,0,1
04-07-2020,6,Chandigarh,18,7,0
04-07-2020,7,Chhattisgarh,10,9,0
04-07-2020,8,Delhi,576,21,7
04-07-2020,9,Goa,7,0,0
04-07-2020,10,Gujarat,165,25,13
04-07-2020,11,Haryana,90,25,1
04-07-2020,12,Himachal Pradesh,13,2,1
04-07-2020,13,Jammu and Kashmir,116,4,2
04-07-2020,14,Jharkhand,4,0,0
04-07-2020,15,Karnataka,175,25,4
04-07-2020,16,Kerala,327,58,2
04-07-2020,17,Ladakh,14,10,0
04-07-2020,18,Madhya Pradesh,229,0,13
04-07-2020,19,Maharashtra,868,56,48
04-07-2020,20,Manipur,2,0,0
04-07-2020,21,Mizoram,1,0,0
04-07-2020,22,Odisha,42,2,1
04-07-2020,23,Puducherry,5,1,0
04-07-2020,24,Punjab,91,4,7
